﻿﻿﻿﻿﻿﻿﻿﻿Company_Names,Company_website,Company_PR_Website
"Altiris Therapeutics, Inc.",none,
Altor BioScience Corporation,http://www.altorbioscience.com/,http://www.altorbioscience.com/news/
Altos Therapeutics LLC,http://altostherapeutics.com/,
"Alvine Pharmaceuticals, Inc.",https://alvinepharma.com/,
"AMAG Pharmaceuticals, Inc.",http://www.amagpharma.com/,http://www.amagpharma.com/newsroom/
"Amarantus BioScience Holdings, Inc.",http://www.amarantus.com/,http://www.amarantus.com/news/press-releases
"Amarillo Biosciences, Inc.",http://amarbio.com/,http://amarbio.com/news-mainmenu/current-press-releases.html
Amarin Corporation plc,http://www.amarincorp.com/default.aspx,http://investor.amarincorp.com/releases.cfm
Amarna Therapeutics,http://www.amarnatherapeutics.com/,http://www.amarnatherapeutics.com/media/press-releases/
"Ambrilia Biopharma, Inc.",none,
"Amgen, Inc.",http://www.amgen.com/,http://www.amgen.com/media/news-releases/
AM-Pharma B.V.,http://www.am-pharma.com/,http://www.am-pharma.com/blog
"Amphastar Pharmaceuticals, Inc.",http://www.amphastar.com/,http://ir.amphastar.com/releases.cfm
"Ampio Pharmaceuticals, Inc.",http://ampiopharma.com/,http://ampiopharma.com/news/latest-news/
AmpliPhi Biosciences Corporation,http://www.ampliphibio.com/,http://investor.ampliphibio.com/press-releases/all/all/all
"Anaeropharma Science, Inc.",http://www.anaeropharma.co.jp/,http://www.anaeropharma.co.jp/category/news/
Anamar AB,http://anamar.com/,
"AnaptysBio, Inc.",https://www.anaptysbio.com/,https://www.anaptysbio.com/news/
Anavex Life Sciences Corp.,http://www.anavex.com/,
AndroScience Corporation,http://androscience.com/,http://www.androscience.com/artman/publish/news/index.shtml
Anergis SA,http://www.anergis.ch/,http://www.anergis.ch/News.html
"Anesiva, Inc.",none,
"Anexon, Inc.",none,
Angimmune LLC,https://www.angimmune.com/,
"Angiochem, Inc.",http://angiochem.com/,
Angion Biomedica Corp.,http://angion.com/,http://www.angion.com/news.php
Angita Pharmaceuticals B.V.,http://angitapharma.com/,http://www.angitapharma.com/news/
"ANI Pharmaceuticals, Inc.",http://www.anipharmaceuticals.com/,http://www.anipharmaceuticals.com/aboutus_newsmedia.php
"Antares Pharma, Inc.",http://www.antarespharma.com/,http://www.antarespharma.com/investors/press?year=2017
"Anthera Pharmaceuticals, Inc.",http://www.anthera.com/,http://investor.anthera.com/releases.cfm
"Antisense Therapeutics, Ltd.",http://www.antisense.com.au/,
Antisoma plc,none,
"Antiva Biosciences, Inc.",http://www.antivabio.com/,http://www.antivabio.com/news-main.php
"AntriaBio, Inc.",http://www.antriabio.com/,http://www.antriabio.com/news/press-releases
"AOBiome, LLC",https://www.aobiome.com/,https://www.aobiome.com/news
AOP Orphan Pharmaceuticals AG,http://www.aoporphan.com/en.html,http://www.aoporphan.com/en/news-media/press-release.html
apceth GmbH & Co. KG,http://www.apceth.com/,http://www.apceth.com/press-releases/
Apeiron Biologics AG,http://www.apeiron-biologics.com/,http://www.apeiron-biologics.com/index.php/news/current-news.html
"Apellis Pharmaceuticals, Inc.",http://www.apellis.com/,http://apellis.com/news.html
Aphios Corporation,http://www.aphios.com/,http://www.aphios.com/news-and-current-events/press-releases-and-news.html
Apogenix GmbH,http://apogenix.com/en/,http://apogenix.com/en/news-events/press-release
APOGEPHA Arzneimittel GmbH,http://www.apogepha.com/,
Aposense Ltd.,http://www.aposense.com/,http://www.aposense.com/node/12
Apotex Inc.,http://www.apotex.com/,http://www.apotex.com/global/about/press/default.asp
Applied Genetic Technologies Corporation,http://www.agtc.com/,http://ir.agtc.com/releases.cfm
Aprea AB,http://www.aprea.com/,http://www.aprea.com/news/
"APT Pharmaceuticals, Inc.",none,
Aptose Biosciences Inc.,http://aptose.com/,http://ir.aptose.com/Phoenix.zhtml?c=116148&p=irol-news
"Aquinox Pharmaceuticals, Inc.",http://aqxpharma.com/,http://investor.aqxpharma.com/releases.cfm
Aradigm Corporation,http://www.aradigm.com/,http://www.aradigm.com/news-events.html
"Araim Pharmaceuticals, Inc.",http://araimpharma.com/,http://araimpharma.com/press/
"Arbor Pharmaceuticals, Inc.",http://arborpharma.com/,http://arborpharma.com/news.html
Arbutus Biopharma Corporation,http://www.arbutusbio.com/,http://investor.arbutusbio.com/releases.cfm
"ARCA Biopharma, Inc.",http://arcabio.com/,http://arcabio.com/press-releases/
Arch Biopartners Inc.,http://www.archbiopartners.com/,http://www.archbiopartners.com/index.php/investor-hub/fundamentals/press-releases-live
Archemix Corp.,http://archemix.com/,
"Archer Pharmaceuticals, Inc.",http://www.archerpharma.com/,http://archerpharma.com/newsroom.html
Archivel Farma S.L.,http://www.archivelfarma.com/index_an.html,
Arcion Therapeutics Inc.,none,
Ardelyx Inc.,http://www.ardelyx.com/,http://ir.ardelyx.com/releases.cfm
"Arena Pharmaceuticals, Inc.",http://www.arenapharm.com/,http://invest.arenapharm.com/releases.cfm?view=all
Argon Pharma S.L.,http://www.asebio.com/en/,http://www.asebio.com/en/news.cfm
"Argos Therapeutics, Inc.",http://www.argostherapeutics.com/,http://ir.argostherapeutics.com/releases.cfm
Ario Pharma Limited,http://www.ariopharma.com/,http://www.ariopharma.com/ario-pharma-news-events.php
"Arisaph Pharmaceuticals, Inc.",http://arisaph.com/about/our-story,
Ark Biosciences,http://www.arkbiosciences.com/,http://www.arkbiosciences.com/news.asp
"ArmaGen Technologies, Inc.",http://armagen.com/,http://armagen.com/news/
"Armetheon, Inc.",https://armetheon.com/,https://armetheon.com/newsroom/
"ARMGO Pharma, Inc.",http://www.armgo.com/,http://www.armgo.com/news.html
ARMO Biosciences,http://armobio.com/,http://www.armobio.com/news-main.php
"AROG Pharmaceuticals, LLC",http://www.arogpharma.com/,http://www.arogpharma.com/news-events
Aros Pharma,http://www.argostherapeutics.com/,http://ir.argostherapeutics.com/releases.cfm
"ArQule, Inc.",https://www.arqule.com/,http://investors.arqule.com/releases.cfm?view=all
"Array BioPharma, Inc.",http://www.arraybiopharma.com/,http://investor.arraybiopharma.com/phoenix.zhtml?c=123810&p=irol-news&nyo=0
Arriva Pharmaceuticals,none,
"Arrowhead Pharmaceuticals, Inc.",http://arrowheadpharma.com/,http://ir.arrowheadpharma.com/releases.cfm?view=all
Arsanis Biosciences GmbH,http://www.arsanis.com/,http://www.arsanis.com/news-publications/
Asahi Kasei Corporation,http://www.asahi-kasei.co.jp/asahi/en/,http://www.asahi-kasei.co.jp/asahi/en/news/
"Asana BioSciences, LLC",https://www.asanabiosciences.com/#!,https://www.asanabiosciences.com/news
Ascend Biopharmaceuticals Ltd.,http://www.ascendbiopharma.com/,http://www.ascendbiopharma.com/category/news/
Ascendis Pharma A/S,http://ascendispharma.com/,http://phx.corporate-ir.net/phoenix.zhtml?c=242088&p=irol-news&nyo=0
Asceneuron SA,http://asceneuron.com/,http://asceneuron.com/news
"Asklepion Pharmaceuticals, LLC",http://www.asklepionpharm.com/,http://www.asklepionpharm.com/
ASLAN Pharmaceuticals Pte Ltd,http://www.aslanpharma.com/,http://www.aslanpharma.com/news/
Asmacure Ltée,http://www.asmacure.com/,http://www.asmacure.com/news/
"Astellas Pharma, Inc.",https://www.astellas.us/,https://www.astellas.com/en/corporate/news/
Astraea Therapeutics,http://www.astraeatherapeutics.com/,
AstraZeneca PLC,https://www.astrazeneca.com/,https://www.astrazeneca.com/media-centre/press-releases.html
"Atara Biotherapeutics, Inc.",http://www.atarabio.com/,http://www.atarabio.com/news/
AtheroGenics,http://www.atherogenics.com/,http://www.atherogenics.com/news/
"Athersys, Inc.",http://www.athersys.com/,http://www.athersys.com/releases.cfm
Atlantic Healthcare,http://www.atlantichealth.org/atlantic.html,http://www.atlantichealth.org/atlantic/media-center/press-releases.html
Atopix Therapeutics Limited,http://www.atopixtherapeutics.com/,http://www.atopixtherapeutics.com/pressroom.html
"Atossa Genetics, Inc.",http://www.atossagenetics.com/,http://ir.atossagenetics.com/press-releases
Atox Bio,http://www.atoxbio.com/,http://www.atoxbio.com/news/press-releases/
aTyr Pharma,http://www.atyrpharma.com/,http://atyrpharma.investorroom.com/news-releases
Aurinia Pharmaceuticals Inc.,http://www.auriniapharma.com/,http://ir.auriniapharma.com/press-releases
Auris Medical AG,http://www.aurismedical.com/,http://ir.aurismedical.com/phoenix.zhtml?c=253572&p=irol-news&nyo=0
Auron Healthcare GmbH,none,
"Aurora BioPharma, Inc.",http://www.aurora-biopharma.com/,http://www.aurora-biopharma.com/cms/press
"Ausio Pharmaceuticals, LLC",http://ausiopharma.com/,
Autifony Therapeutics Limited,http://autifony.com/,http://www.autifony.com/autifony-news.asp
"AVAX Technologies, Inc.",http://avax-tech.com/,http://avax-tech.com/investor-relations/press-releases/
"Avedro, Inc.",http://avedro.com/,
"Avelas Biosciences, Inc.",http://www.avelasbio.com/,http://www.avelasbio.com/news/
"Avera Pharmaceuticals, Inc.",http://arevapharma.com/,http://arevapharma.com/news/
Avexa Limited,http://www.avexa.com.au/,http://www.avexa.com.au/news/
"AveXis, Inc.",https://avexis.com/,http://investors.avexis.com/phoenix.zhtml?c=254285&p=irol-news&nyo=0
"Avicena Group, Inc.",http://www.avicenagroup.com/,http://www.avicenagroup.com/news_events/press_releases/index.php
"Aviragen Therapeutics, Inc.",http://aviragentherapeutics.com/,http://investors.aviragentherapeutics.com/releases.cfm
Avraham Pharmaceuticals Ltd.,http://www.avphar.com/,http://avphar.biomarketingmc.com/category/news-and-events/
Axcentua Pharmaceuticals AB,http://axcentua.com/,http://axcentua.com/news/
Axelar AB,http://www.axelar.se/,http://www.axelar.se/news/
"Axikin Pharmaceuticals, Inc.",http://www.axikin.com/,http://www.axikin.com/news.html
Axon Neuroscience GmbH,http://www.axon-neuroscience.eu/,http://www.axon-neuroscience.eu/
"Axsome Therapeutics, Inc.",http://axsome.com/,http://phx.corporate-ir.net/phoenix.zhtml?c=254022&p=irol-news&nyo=0
axxonis Pharma AG,none,
Azelon Pharmaceuticals,none,
Azevan Pharmaceuticals,http://azevan.com/,http://azevan.com/index.php/pages/press-releases/
"AZTherapies, Inc.",http://aztherapies.com/,http://aztherapies.com/press-release-news/
Balance Therapeutics,http://www.balance-therapeutics.com/,
Basilea Pharmaceutica AG,http://www.basilea.com/,http://www.basilea.com/Investor-Relations/News-and-Media/
Batu Biologics,http://batubiologics.com/,http://batubiologics.com/news/
Bavarian Nordic A/S,http://www.bavarian-nordic.com/,http://www.bavarian-nordic.com/investor/news/news.aspx
Baxter International Inc.,http://www.baxter.com/index.page,https://www.baxter.com/news-media/newsroom/press-releases.page
Bayer AG,http://www.bayer.com/,https://www.bayer.com/en/media.aspx
"Beijing Northland Biotech. Co., Ltd.",http://www.northland-bio.com/,http://www.northland-bio.com/
"Beijing Tide Pharmaceuticals Co., Ltd.",http://en.tidepharm.com/,
"Bellicum Pharmaceuticals, Inc.",http://www.bellicum.com/,http://ir.bellicum.com/phoenix.zhtml?c=253830&p=irol-news&nyo=0
Benitec Biopharma Limited,http://www.benitec.com/,http://www.benitec.com/news/other
BerGenBio AS,http://www.bergenbio.com/,http://www.bergenbio.com/media-centre/news/
Besins Healthcare SA,http://www.besins-healthcare.com/,
Bessor Pharma LLC,http://bessorpharma.com/,http://www.biospace.com/news.aspx
Beta Pharma Inc.,http://betapharma.com/,
Betagenon AB,http://betagenon.com/,
Bexion Pharmaceuticals,http://www.bexionpharma.com/,http://www.bexionpharma.com/media/press-releases.aspx
Bharat Biotech,http://www.bharatbiotech.com/,http://www.bharatbiotech.com/media/press-release/
Bial,https://www.bial.com/,https://www.bial.com/en/pressroom.138.html
"BIND Therapeutics, Inc.",http://www.pfizer.com/,http://www.pfizer.com/news/press-release
"BioAxone BioSciences, Inc.",http://bioaxonebio.com/,http://bioaxonebio.com/news/
BioBlast Pharma Ltd.,https://bioblastpharma.com/,https://bioblastpharma.com/news-and-events
Bio-Cancer Treatment International Limited,http://www.bio-cancer.com/,http://www.bio-cancer.com/#!/investors
"BioClin Therapeutics, Inc.",http://bioclintherapeutics.com/,
"Biocon, Ltd.",http://www.biocon.com/,http://www.biocon.com/biocon_press_releases_2017.asp
BioCrea GmbH,http://www.biocrea.com/,http://www.biocrea.com/news/press_releases/
"BioCritica, Inc.",none,
"BioCryst Pharmaceuticals, Inc.",http://www.biocryst.com/,http://investor.shareholder.com/biocryst/releases.cfm
"Biodel, Inc.",http://www.albireopharma.com/,http://www.albireopharma.com/category/news/
"BioDelivery Sciences International, Inc.",http://www.bdsi.com/,http://bdsi.investorroom.com/media_pr
Biofrontera AG,http://biofrontera.com/,http://biofrontera.com/en/investors/ad-hoc-news.html
"Biogen, Inc.",https://www.biogen.com/,http://media.biogen.com/
BioInvent International AB,http://www.bioinvent.com/,http://www.bioinvent.com/investors/press-releases
"Biolex Therapeutics, Inc.",none,
BioLineRx Ltd.,http://www.biolinerx.com/,http://www.biolinerx.com/default.asp?pageid=16
"BioLite, Inc.",http://www.bioliteenergy.com/,
"BioMarck Pharmaceuticals, Ltd.",http://www.biomarck.com/,http://www.biomarck.com/press/
BioMarin Pharmaceutical Inc.,http://www.biomarin.com/,http://investors.bmrn.com/releases.cfm
BioMAS Ltd.,http://www.biomas-pharma.com/#!,
"BioMed Valley Discoveries, Inc.",https://biomed-valley.com/,https://biomed-valley.com/news
Biomedisyn Corporation,none,
BiondVax Pharmaceuticals,http://www.biondvax.com/,http://www.biondvax.com/press-releases/
Bionomics Limited,http://www.bionomics.com.au/,
Bionor Pharma ASA,http://www.bionorpharma.com/,http://www.bionorpharma.com/en/Media/News/All/
"Bionovo, Inc.",http://www.bionovo.com/,http://bionovo.com/investors/pr
"BioNumerik Pharmaceuticals, Inc.",http://bionumerik.com/,
"Bio-Path Holdings, Inc.",http://www.biopathholdings.com/,http://biopathholdings.com/press-release/
"Biopeutics Co., Ltd.",http://biopeutics.com/home.html,
"BioPharmX, Inc.",http://www.biopharmx.com/,http://www.biopharmx.com/media/
Biosuccess Biotech Co. Ltd.,http://www.biosuccessbiotech.com/,
Biosynexus Incorporated,none,
Biotest AG,http://www.biotest.com/,http://www.biotest.com/de/en/investor_relations/news_and_publications/biotest_press_releases.cfm
Biothera,http://www.biothera.com/,http://www.biothera.com/category/press-releases/
Biotherapeutics Inc.,https://biotherapeuticsinc.com/,https://biotherapeuticsinc.com/index.php/news
Biotie Therapies Corp.,http://www.biotie.com/,http://www.biotie.com/media/recent-media-coverage.aspx?sc_lang=en
Bioton S.A.,http://www.bioton.pl/,http://www.bioton.pl/bioton/
Biotron Limited,http://www.biotron.com.au/,
Bioxyne Limited,http://www.bioxyne.com/,http://www.bioxyne.com/investors/
"Bird Rock Bio, Inc.",http://www.birdrockbio.com/,http://www.birdrockbio.com/news/
Birken AG,http://www.amrytpharma.com/,http://www.amrytpharma.com/investors-and-media
"Blaze Bioscience, Inc.",http://www.blazebioscience.com/,http://www.blazebioscience.com/news.html
Blue Earth Diagnostics,http://www.blueearthdiagnostics.com/,http://www.blueearthdiagnostics.com/news/
Blue Note Pharmaceuticals,none,
Blueprint Medicines,http://www.blueprintmedicines.com/,http://ir.blueprintmedicines.com/phoenix.zhtml?c=253931&p=irol-news&nyo=0
Boehringer Ingelheim GmbH,https://www.boehringer-ingelheim.com/,https://www.boehringer-ingelheim.com/press/all-press-releases
Bone Medical Ltd,none,
Bone Therapeutics SA,http://www.bonetherapeutics.com/,http://www.bonetherapeutics.com/en/press-releases
"Boston Therapeutics, Inc.",http://www.bostonti.com/,http://www.bostonti.com/news/press-releases
Bradmer Pharmaceuticals,none,
BrainCells Inc.,none,
BrainStorm Cell Therapeutics Inc.,http://www.brainstorm-cell.com/,http://ir.brainstorm-cell.com/phoenix.zhtml?c=142287&p=irol-news&nyo=0
"Braintree Laboratories, Inc.",http://www.braintreelabs.com/,http://www.braintreelabs.com/news-and-events-press-releases.htm
BriaCell Therapeutics Corp,http://briacell.com/,http://briacell.com/news-and-events/
"Brickell Biotech, Inc.",http://www.brickellbio.com/,http://www.brickellbio.com/news.html
Bridge Bioresearch PLC,none,
Bristol-Myers Squibb Company,http://www.bms.com/,http://www.bms.com/news/press_releases/pages/default.aspx
"Burzynski Research Institute, Inc.",http://www.burzynskiresearch.com/,
"C3 Jian, Inc.",http://www.c3jtherapeutics.com/,http://www.c3jtherapeutics.com/news/
Cadila Pharmaceuticals Ltd.,http://cadilapharma.com/,http://cadilapharma.com/media/press-releases/
"Caladrius Biosciences, Inc.",http://www.caladrius.com/,http://www.caladrius.com/investors/news-events/press-releases/
"CalciMedica, Inc.",http://www.calcimedica.com/,http://www.calcimedica.com/news.html
"Calimmune, Inc.",http://www.calimmune.com/,http://www.calimmune.com/news/
"Calithera Biosciences, Inc.",http://www.calithera.com/,http://phx.corporate-ir.net/phoenix.zhtml?c=253557&p=irol-news&nyo=0
Camurus AB,http://www.camurus.com/,http://www.camurus.com/media/
"CanBas Co., Ltd.",http://www.canbas.co.jp/eng/index.html,
Canbex Therapeutics Ltd.,http://www.canbex.co.uk/,
"Cancer Advances, Inc.",http://www.canceradvancesinc.com/,http://www.canceradvancesinc.com/cancer-advances-news.html
"Cancer Prevention Pharmaceuticals, Inc.",http://canprevent.com/,http://canprevent.com/media/
Cancer Research Technology Limited,http://www.cancertechnology.co.uk/,http://www.cancertechnology.co.uk/press-release
Can-Fite BioPharma Ltd.,http://canfite.com/,http://ir.canfite.com/press-releases
"Cantex Pharmaceuticals, Inc.",http://cantex.com/,http://cantex.com/content/news/index.htm
CAO Pharmaceuticals Inc.,http://www.caopharmaceuticals.com/,
"Capnia, Inc.",http://www.capnia.com/,http://investors.capnia.com/phoenix.zhtml?c=253893&p=irol-news&nyo=0
Capstone Therapeutics Corp.,http://capstonethx.com/,http://capstonethx.com/category/press-release/
"Cara Therapeutics, Inc.",http://caratherapeutics.com/,http://ir.caratherapeutics.com/releases.cfm
Cardiome Pharma Corp.,http://cardiome.com/,http://cardiome.com/
Cardiorentis AG,http://www.cardiorentis.com/de/,http://www.cardiorentis.com/de/media/index.php
CardioVascular BioTherapeutics Inc.,http://www.cvbt.com/,http://cvbt.com/Press_and_News_Releases.php
"Cascadian Therapeutics, Inc.",http://www.cascadianrx.com/,http://ir.cascadianrx.com/
"CASI Pharmaceuticals, Inc.",http://www.casipharmaceuticals.com/,http://www.casipharmaceuticals.com/investor-relations/news/?/about-us/news/
Cassiopea SpA,http://www.cassiopea.com/,http://www.cassiopea.com/news-and-media/press-releases/
"Catabasis Pharmaceuticals, Inc.",http://catabasis.com/,http://ir.catabasis.com/phoenix.zhtml?c=251269&p=irol-news&nyo=0
Catalyst Biosciences,http://www.catalystbiosciences.com/,http://ir.catalystbiosciences.com/phoenix.zhtml?c=254141&p=irol-news&nyo=0
Cavion LLC,http://cavionpharma.com/,http://cavionpharma.com/news
Cebix Incorporated,http://cebix-inc.com/,
